Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,41650,42100,41550,42000,36897.00781,15752397
2019-05-21,42600,43950,42350,43150,37907.28906,18812133
2019-05-22,43700,43800,42400,43500,38214.76172,11033339
2019-05-23,43900,44000,43250,43850,38522.23047,12259006
2019-05-24,43800,43800,42400,42700,37511.96484,13966305
2019-05-27,42500,43000,42350,42650,37468.02734,8066669
2019-05-28,42550,42950,42150,42550,37380.18359,24506881
2019-05-29,41850,42100,41300,41800,36721.30469,14930618
2019-05-30,42200,42700,42150,42550,37380.18359,11766018
2019-05-31,42600,42800,42150,42500,37336.25,11365999
2019-06-03,42950,43900,42500,43800,38478.30469,15466580
2019-06-04,43400,43700,43000,43450,38170.83203,9913497
2019-06-05,44050,44200,43700,43900,38566.15625,12464135
2019-06-07,43600,44350,43450,44200,38829.70703,11683682
2019-06-10,44300,44850,44050,44800,39356.8125,8792182
2019-06-11,44800,45000,44550,44850,39400.74219,6664872
2019-06-12,44800,45050,44300,44600,39181.10938,8607439
2019-06-13,44200,44400,43400,43750,38434.38672,16906541
2019-06-14,43750,44150,43300,44000,38654.01172,9322873
2019-06-17,43750,44050,43400,43900,38566.15625,11890424
2019-06-18,43750,44500,43650,44350,38961.47656,7994928
2019-06-19,45450,45450,45000,45350,39839.98828,10417690
2019-06-20,44850,45500,44850,45500,39971.75391,7147785
2019-06-21,45750,45800,45200,45700,40147.45703,9454913
2019-06-24,45200,45800,45200,45500,39971.75391,6085066
2019-06-25,45200,45800,45200,45600,40059.60547,7076774
2019-06-26,45800,46000,45600,45700,40147.45703,9226097
2019-06-27,46000,46600,45750,46500,41169.15625,12603534
2019-06-28,47000,47000,46700,47000,41611.84375,12949231
2019-07-01,47350,47400,46250,46600,41257.69531,11383522
2019-07-02,46200,46900,45850,46250,40947.82422,8463073
2019-07-03,45750,46350,45200,45400,40195.26953,9669368
2019-07-04,45250,46200,45250,46000,40726.48047,6365573
2019-07-05,45950,45950,45250,45650,40416.61719,7235395
2019-07-08,44750,44800,44350,44400,39309.91406,7823843
2019-07-09,44850,45450,44700,45100,39929.66016,7646421
2019-07-10,45550,46150,45500,45550,40328.07031,9253930
2019-07-11,46350,46550,46150,46200,40903.55469,10989751
2019-07-12,46350,46400,45800,46300,40992.08594,5245804
2019-07-15,45950,46650,45750,46450,41124.89063,4717226
2019-07-16,46450,46850,46300,46850,41479.03125,7407824
2019-07-17,46150,46350,45950,46050,40770.75,5216602
2019-07-18,46450,46450,45650,46100,40815.02344,5143554
2019-07-19,46650,46950,46600,46800,41434.76563,8819393
2019-07-22,46800,47300,46600,47200,41788.90625,9009109
2019-07-23,47350,47550,47050,47300,41877.45313,9061381
2019-07-24,47100,47150,46250,46400,41080.62891,8756522
2019-07-25,47150,47200,46600,47200,41788.90625,8408838
2019-07-26,46650,47150,46550,47150,41744.64844,7873886
2019-07-29,46800,47050,46000,46100,40815.02344,6856846
2019-07-30,46300,46850,46300,46550,41213.43359,5551014
2019-07-31,46200,46600,45000,45350,40151,12872916
2019-08-01,44900,45500,44850,45200,40018.1875,7811181
2019-08-02,44550,45500,44300,44950,39796.84766,12151374
2019-08-05,44350,44600,43600,43950,38911.49219,14214086
2019-08-06,42500,43800,42500,43500,38513.08594,15083824
2019-08-07,43600,43900,43100,43200,38247.48438,10002533
2019-08-08,43250,43500,42650,42650,37760.52734,16926881
2019-08-09,43250,43350,43050,43150,38203.21875,9685147
2019-08-12,44000,44000,43550,43700,38690.15234,8466169
2019-08-13,43500,43500,42950,43000,38070.40625,7276979
2019-08-14,43900,44250,43500,43700,38690.15234,8750135
2019-08-16,43800,43900,43300,43900,38867.22656,9528115
2019-08-19,44350,44350,43500,43600,38601.61719,6014218
2019-08-20,43950,44600,43550,44450,39354.17578,8434205
2019-08-21,44350,44800,44150,44500,39398.44141,6571717
2019-08-22,44500,44700,43850,44050,39000.03125,8061177
2019-08-23,43800,44200,43650,43950,38911.49219,5017381
2019-08-26,43050,43800,42950,43600,38601.61719,7954949
2019-08-27,43650,44200,43600,44050,39000.03125,16883932
2019-08-28,44100,44400,43750,44150,39088.57422,5758333
2019-08-29,44200,44200,43050,43400,38424.54688,10768862
2019-08-30,43750,44300,43750,44000,38955.76953,9899073
2019-09-02,44850,44850,43650,43800,38778.69531,7185537
2019-09-03,43550,43650,43100,43250,38291.75,9774941
2019-09-04,43250,44100,43150,44100,39044.30469,12441837
2019-09-05,44800,46100,44450,45700,40460.87109,18297430
2019-09-06,46500,46500,45850,46300,40992.08594,9896562
2019-09-09,46450,47000,46300,46900,41523.30469,9434157
2019-09-10,47100,47200,46550,47000,41611.84375,9231792
2019-09-11,47300,47400,46800,47150,41744.64844,16141619
2019-09-16,47000,47100,46400,47100,41700.37891,15550926
2019-09-17,47000,47100,46800,46900,41523.30469,7006280
2019-09-18,46900,47700,46800,47700,42231.58984,10413027
2019-09-19,48050,49200,47850,49150,43515.36328,16461413
2019-09-20,49400,49600,49100,49200,43559.62891,15460210
2019-09-23,49250,49300,49000,49300,43648.16797,7568553
2019-09-24,49050,49650,48850,49500,43825.23828,7871955
2019-09-25,49200,49350,48800,48900,43294.02344,9187141
2019-09-26,49000,49250,48900,49200,43559.62891,8494756
2019-09-27,48000,48700,48000,48400,43161.89844,8048041
2019-09-30,48050,49250,47900,49050,43741.5625,9497119
2019-10-01,48900,49100,48650,48850,43563.19531,6206035
2019-10-02,48350,48400,47600,47600,42448.47656,8382463
2019-10-04,47400,48650,47350,48000,42805.1875,9331695
2019-10-07,48350,48700,47650,47750,42582.24219,7047273
2019-10-08,47900,49000,47600,48900,43607.78516,14239367
2019-10-10,48200,49200,48000,48550,43295.66797,18639855
2019-10-11,49000,49450,48800,49150,43830.73047,7783275
2019-10-14,50000,50300,49850,50000,44588.73438,11130635
2019-10-15,49900,50200,49900,50100,44677.90625,6058105
2019-10-16,50700,50900,50400,50700,45212.98828,9136282
2019-10-17,50500,50600,50100,50500,45034.63281,6701380
2019-10-18,50300,50900,49650,49900,44499.5625,8483106
2019-10-21,49900,50400,49800,50300,44856.25781,4406531
2019-10-22,50800,51500,50700,51200,45658.86328,10898729
2019-10-23,51300,51500,50800,51200,45658.86328,8663880
2019-10-24,52500,52500,50500,50700,45212.98828,21185785
2019-10-25,50800,51200,50500,50900,45391.33203,7879897
2019-10-28,50700,51500,50700,51300,45748.04688,6431522
2019-10-29,51400,51700,50800,51100,45569.69141,7581629
2019-10-30,50700,50800,50200,50400,44945.44922,8959435
2019-10-31,51000,51400,50300,50400,44945.44922,10304777
2019-11-01,50600,51200,50400,51200,45658.86328,8467846
2019-11-04,51700,52300,51400,52300,46639.82031,13012411
2019-11-05,52400,52700,52100,52700,46996.53125,10581034
2019-11-06,52900,53500,52700,53300,47531.58984,14361133
2019-11-07,53400,53400,52400,52900,47174.88281,9257116
2019-11-08,53200,53300,52000,52100,46461.46094,11603290
2019-11-11,52200,52200,51400,51600,46015.57422,8185952
2019-11-12,51800,52600,51600,52600,46907.34766,6576148
2019-11-13,52500,52500,52000,52500,46818.16797,6225196
2019-11-14,51900,52800,51900,52800,47085.70703,12010018
2019-11-15,52900,53700,52600,53700,47888.3125,9703360
2019-11-18,53600,53800,53200,53500,47709.94922,7746554
2019-11-19,53200,53500,52700,53500,47709.94922,8907177
2019-11-20,53400,53400,52000,52000,46372.28516,12560070
2019-11-21,51600,52100,50600,51000,45480.50391,14298646
2019-11-22,51000,51600,50900,51600,46015.57422,8478310
2019-11-25,52200,52600,51700,51800,46193.92578,9050625
2019-11-26,51900,52900,51800,51800,46193.92578,27372226
2019-11-27,51800,52300,51600,52200,46550.64453,7546261
2019-11-28,51900,52100,51300,51300,45748.04688,6833885
2019-11-29,51200,51400,50200,50300,44856.25781,11179334
2019-12-02,50900,51300,50400,50400,44945.44922,18877252
2019-12-03,49800,50300,49500,49900,44499.5625,12059812
2019-12-04,49600,49850,49000,49450,44098.26563,13246549
2019-12-05,50200,50400,49500,49500,44142.84766,10449715
2019-12-06,50100,50900,49950,50400,44945.44922,11414563
2019-12-09,50900,51400,50700,51200,45658.86328,8470627
2019-12-10,51000,51600,50700,51500,45926.39063,6882771
2019-12-11,51500,52200,51400,51900,46283.10938,11379521
2019-12-12,53000,53300,52700,53300,47531.58984,29178697
2019-12-13,54500,54800,53900,54700,48780.07031,18120261
2019-12-16,54500,54900,54300,54700,48780.07031,11512405
2019-12-17,55800,56700,55400,56700,50563.625,19358433
2019-12-18,56700,57200,56000,56300,50206.91406,15558208
2019-12-19,57000,57300,55500,56000,49939.39063,14180520
2019-12-20,56100,56500,55600,56000,49939.39063,12095519
